"X0","X8","X16","X24","X32","X40","X0.1","X24.1","X48","X72","X96","X120","X144","X168","X192","X216","X240","X264","X288","X312","X336","X1","X25","X49","X73","X97","X121","X145","X169","X193","X217","X241","X265","X289","X313","X337","X2","X26","X50","X74","X98","X122","X146","X170","X194","X218","X242","X266","X290","X314","X338","X0.2","X8.1","X16.1"
9,5,2,2,1,0,9,2,0,0,1,2,4,5,9,8,7,10,8,5,6,4,2,0,0,1,1,4,8,9,9,8,7,6,7,8,6,3,0,0,1,2,7,10,10,8,12,7,5,5,6,9,5,2
4,2,1,1,1,0,4,1,0,0,0,1,2,4,5,3,3,3,3,2,2,2,1,0,0,0,1,1,3,4,3,4,3,4,2,3,3,1,0,0,0,1,2,4,4,4,4,4,1,2,3,4,2,1
3,2,1,1,0,0,3,1,0,0,0,1,2,3,3,2,1,4,2,1,1,2,1,0,0,0,1,1,3,2,2,3,3,2,2,2,3,1,0,0,0,1,1,3,2,3,3,2,2,2,2,3,2,1
11,8,4,4,2,1,11,4,0,0,2,2,3,11,12,12,9,14,9,8,6,6,4,0,0,2,4,8,8,12,8,13,10,7,6,12,10,3,0,0,1,3,5,11,11,5,11,13,10,5,8,11,8,4
6,4,2,1,1,0,6,1,0,0,1,2,3,7,6,5,7,8,4,4,5,3,2,0,0,1,1,3,5,4,6,7,5,4,3,4,6,1,0,0,1,2,3,8,7,4,7,4,4,3,4,6,4,2
6,6,2,2,1,0,6,2,0,0,1,2,4,5,6,7,10,7,7,5,4,6,1,0,0,1,2,4,7,6,7,9,10,4,5,6,8,2,0,0,1,3,5,8,5,10,6,6,3,4,6,6,6,2
9,4,3,4,2,1,9,4,0,0,2,3,7,12,12,10,8,11,8,7,10,8,4,0,0,2,3,7,15,13,10,13,9,8,8,10,12,3,0,0,1,4,7,13,11,9,13,15,6,8,11,9,4,3
16,11,6,3,1,1,16,3,0,0,3,5,7,16,21,14,19,14,14,8,14,12,5,0,0,2,6,10,19,17,14,18,12,9,13,14,14,4,1,0,3,4,8,19,19,20,13,15,14,12,16,16,11,6
11,8,7,3,3,1,11,3,1,1,3,5,9,12,15,5,15,16,11,11,15,11,7,0,1,2,5,8,17,16,12,17,14,10,9,13,15,7,1,0,2,4,11,19,16,14,12,17,8,10,10,11,8,7
48,31,11,13,7,2,48,13,1,1,8,14,23,51,45,38,37,39,41,22,34,45,10,2,1,8,9,23,41,33,25,46,47,30,22,36,42,12,1,1,6,14,29,35,61,41,50,46,30,30,31,48,31,11
21,7,7,8,4,1,21,8,1,1,4,6,15,18,19,25,25,24,14,10,15,20,7,1,1,2,6,9,21,19,23,27,17,15,13,12,15,7,1,1,3,7,12,12,22,25,19,25,9,11,14,21,7,7
15,7,4,3,2,1,15,3,0,0,2,3,8,17,12,12,14,11,11,11,11,11,3,0,0,2,3,7,18,13,10,17,8,10,7,7,10,5,0,0,2,3,9,13,9,16,12,13,9,9,8,15,7,4
12,7,3,4,2,1,12,4,0,0,3,4,9,15,13,10,13,15,12,9,14,12,3,1,0,2,4,12,12,14,9,7,18,12,11,5,11,5,0,0,2,3,7,18,10,8,14,13,10,9,8,12,7,3
12,7,3,3,2,1,12,3,0,0,2,4,8,16,14,12,11,14,9,8,11,16,4,1,0,1,3,7,11,12,11,17,12,10,8,10,15,4,0,0,2,4,7,12,13,12,14,16,8,8,7,12,7,3
17,8,7,7,4,1,17,7,0,1,3,5,11,19,23,19,19,17,14,16,14,18,7,1,1,3,5,15,31,10,14,19,19,16,15,15,18,8,0,1,3,9,14,23,26,18,27,23,17,16,17,17,8,7
20,14,6,5,3,2,20,5,1,1,3,6,12,25,22,31,26,19,13,12,21,24,6,1,1,5,6,16,24,24,19,26,18,23,16,16,16,5,1,1,3,8,18,17,31,23,23,32,22,19,16,20,14,6
23,12,5,7,4,1,23,7,1,1,2,7,15,19,17,19,24,25,14,15,14,18,6,1,0,3,5,15,26,21,17,20,13,18,12,17,15,5,1,1,4,5,13,26,27,15,25,24,17,10,16,23,12,5
4,2,2,2,1,0,4,2,0,0,1,2,4,5,6,4,4,5,3,3,3,4,1,0,0,1,1,3,6,5,4,5,5,3,3,3,5,1,0,0,0,2,3,7,5,3,5,4,2,2,5,4,2,2
12,7,4,5,2,1,12,5,0,0,2,4,7,10,16,10,16,12,11,8,12,9,4,0,0,2,5,7,12,15,12,9,16,8,8,8,8,4,1,0,2,1,8,17,15,11,10,13,8,9,8,12,7,4
6,7,4,6,2,1,6,6,0,1,2,6,8,17,17,19,18,16,14,12,12,17,4,1,0,2,5,11,24,17,19,16,19,16,10,12,13,5,1,1,3,6,10,18,21,17,16,25,10,12,10,6,7,4
7,7,2,3,1,1,7,3,0,0,1,2,6,6,8,12,11,11,8,9,10,12,3,0,0,1,3,4,10,8,9,10,10,9,5,4,8,4,0,0,1,2,5,10,11,9,7,8,8,8,6,7,7,2
16,10,7,5,4,1,16,5,0,1,4,7,13,15,26,19,22,29,18,17,18,19,9,1,1,4,6,12,21,21,21,28,30,17,12,16,18,9,1,0,3,6,10,23,24,23,22,15,21,11,19,16,10,7
15,8,3,4,1,1,15,4,0,0,1,4,8,12,15,9,13,16,13,8,3,14,4,0,0,2,5,12,14,12,14,14,18,9,12,12,11,5,0,0,2,5,7,12,13,9,18,21,9,11,12,15,8,3
9,2,2,2,1,1,9,2,0,0,1,3,3,6,5,6,5,7,5,6,6,7,2,0,0,1,2,3,6,10,6,8,5,5,5,7,6,3,0,0,1,3,7,5,6,6,7,10,5,5,4,9,2,2
