,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431
1,17,17,16,16,18,17,16,15,12,11,11,11,11,11,11,10,5,6,6,5,6,6,6,5,6,5,6,6,5,6,6,5,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,6,6,6,5,6,6,5,5,6,5,6,6,6,6,6,5,5,6,6,5,6,6,12,10,11,11,12,12,11,10,12,10,10,11,11,10,11,11,11,11,12,11,11,11,10,11,21,19,18,19,19,19,19,20,20,19,20,18,20,19,19,21,20,20,19,18,23,21,20,20,20,18,20,20,18,19,19,20,17,19,18,20,19,21,19,21,21,16,18,17,21,20,20,20,16,15,17,16,17,17,16,16,17,17,16,17,17,16,18,16,16,17,17,18,15,15,17,15,21,18,20,18,19,18,19,19,19,18,21,21,17,19,20,21,21,19,20,19,20,19,18,20,19,18,20,18,19,20,21,19,18,17,19,20,19,18,20,18,19,19,21,20,22,19,19,20,14,14,14,14,13,14,14,14,13,14,13,15,14,14,14,14,13,14,14,13,14,13,12,14,12,11,12,12,12,12,12,12,12,11,13,12,12,12,12,12,11,13,11,13,11,11,12,10,14,13,13,13,14,13,13,13,14,15,14,13,14,15,13,14,14,14,14,15,13,15,13,14,15,15,14,15,14,17,15,15,16,15,16,16,15,14,15,15,16,16,16,15,14,15,15,16,17,17,16,17,17,16,16,15,16,18,18,19,17,16,17,16,18,16,17,17,16,16,16,16,20,17,19,18,18,19,18,19,19,18,19,21,19,19,19,19,19,20,18,20,20,21,19,22,24,24,24,25,25,25,24,24,20,18,19,17,19,20,17,19
2,19,20,19,18,18,20,18,19,13,12,13,12,12,12,13,12,6,6,6,6,7,6,6,7,6,6,6,6,6,6,7,6,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,6,6,6,6,6,6,12,12,12,13,11,13,13,11,13,13,13,12,12,13,12,13,12,12,12,12,13,13,13,13,21,22,22,20,22,23,23,21,22,18,20,23,21,21,22,22,21,21,23,23,19,20,24,24,21,22,21,21,23,23,21,22,21,22,21,23,24,22,19,20,22,22,22,23,22,21,22,20,19,20,19,20,19,19,18,19,18,18,20,20,19,18,21,18,18,21,20,19,20,18,19,20,22,20,20,22,22,22,23,23,19,23,23,24,20,20,24,20,23,22,19,23,21,22,23,21,22,21,22,24,23,22,21,24,23,22,24,22,21,23,22,21,22,22,21,22,21,21,21,20,15,15,17,17,17,15,15,15,16,15,15,16,16,16,15,15,15,15,14,15,15,16,17,16,14,14,13,13,15,14,14,14,13,13,13,14,14,14,15,14,15,14,14,14,15,14,14,14,15,15,16,14,16,15,17,15,16,15,16,15,15,15,16,15,16,16,16,16,17,14,15,16,18,17,17,17,18,17,17,17,17,17,17,17,17,17,18,17,18,18,18,17,16,18,17,16,19,18,18,19,20,20,18,21,20,20,18,19,18,21,21,19,17,19,20,19,19,19,17,19,23,21,21,21,21,22,22,20,23,22,22,25,21,21,22,22,23,21,21,23,22,20,22,23,27,28,27,29,30,28,27,27,20,22,24,22,21,23,22,22
3,24,24,25,22,24,23,25,22,15,15,17,16,15,16,16,15,7,8,7,8,7,7,8,8,8,8,8,8,9,8,8,8,3,4,4,4,4,4,4,4,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,9,8,7,8,8,8,8,7,8,8,8,8,8,8,7,8,8,9,14,16,15,15,15,15,16,16,17,16,15,16,15,16,17,16,16,17,16,16,16,17,16,16,26,29,29,25,28,29,28,25,28,26,27,29,27,26,26,27,28,29,27,28,27,28,29,26,28,28,27,29,27,28,25,25,28,30,27,28,28,28,25,24,25,26,28,26,27,30,26,25,23,22,26,25,22,23,24,20,24,23,23,24,22,23,24,27,24,25,25,22,22,23,23,23,26,29,29,26,28,28,28,30,29,25,24,26,26,26,27,28,29,27,29,30,28,26,27,27,29,27,27,26,28,29,26,28,27,27,27,27,27,26,28,29,29,26,29,29,29,26,26,28,19,20,19,21,18,19,20,19,19,20,20,18,19,22,20,18,19,19,18,17,19,18,21,18,16,17,18,17,17,16,18,18,18,16,17,19,19,19,16,17,18,17,17,18,16,17,17,19,17,20,21,20,19,20,17,20,19,21,20,21,18,21,20,20,19,20,19,20,18,18,18,19,21,22,22,22,21,21,22,22,21,22,22,21,22,22,21,23,20,21,22,21,22,22,20,22,24,27,24,24,23,22,23,25,26,26,22,22,23,22,23,25,25,25,22,22,26,23,21,23,31,25,29,27,29,26,26,26,28,28,26,27,26,27,28,28,29,27,27,26,30,29,29,28,33,35,36,36,36,38,36,37,26,26,28,30,29,27,28,28
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18,19,17,18,18,18,18,18,11,12,12,11,11,11,12,12,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,7,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,11,11,12,12,11,12,12,12,12,13,13,11,11,12,12,12,12,12,11,11,12,11,11,12,20,20,21,23,20,20,20,20,20,22,20,22,21,22,22,19,20,22,21,20,20,19,19,21,21,20,20,22,22,21,20,22,18,21,20,20,21,20,20,21,20,21,20,21,19,19,21,22,17,17,18,17,17,17,17,19,19,19,17,17,17,17,17,18,20,16,17,16,18,16,17,19,20,20,19,22,21,20,21,19,21,20,21,21,21,20,22,20,19,20,21,21,19,19,21,19,19,22,21,20,21,20,21,21,20,20,20,20,20,21,21,21,20,19,20,18,20,21,20,21,15,15,16,14,15,14,15,14,15,15,16,16,14,14,15,15,15,16,16,15,14,16,16,16,12,13,12,13,14,13,12,13,14,12,12,12,14,13,13,14,13,13,12,12,13,13,14,13,14,16,14,16,15,14,15,14,14,15,16,14,14,15,13,14,15,16,15,14,14,14,15,15,17,16,17,17,16,18,16,17,15,17,15,17,17,15,16,17,16,17,16,15,16,16,17,16,17,18,18,17,18,19,16,19,18,17,18,18,17,19,19,18,19,17,19,17,19,18,18,18,19,21,20,19,20,19,22,22,21,21,21,21,20,21,21,20,22,21,21,21,21,19,22,20,27,27,28,29,27,27,28,28,22,20,21,20,21,22,21,20
7,15,15,13,16,16,14,14,16,11,9,10,10,10,9,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,3,3,2,3,3,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,2,2,3,2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2,3,2,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,9,10,9,10,10,10,10,9,11,10,10,9,10,10,10,10,11,10,10,18,17,17,17,18,17,17,15,18,17,15,18,17,18,18,17,17,17,17,17,16,19,18,16,18,17,17,18,17,18,16,17,18,18,17,17,19,18,17,16,16,17,17,18,17,17,18,18,16,15,14,15,15,13,14,15,16,15,14,16,15,14,14,15,14,15,14,15,15,16,15,16,16,19,16,18,19,16,17,18,18,16,18,18,17,17,19,17,17,16,17,17,18,16,18,18,17,17,15,17,15,16,17,18,17,18,18,17,17,18,20,16,18,15,18,16,18,16,18,17,12,12,12,13,13,13,13,12,12,12,12,13,12,12,11,12,12,12,12,12,11,12,13,11,10,11,12,11,11,11,12,11,10,11,11,11,11,11,10,10,11,11,10,11,11,11,10,10,12,12,12,12,12,14,12,12,13,13,12,11,14,13,13,13,12,13,13,12,13,12,12,12,15,13,14,14,13,14,14,13,13,15,13,14,15,13,14,14,14,14,14,13,13,14,13,14,14,14,16,14,13,13,15,14,16,15,14,14,15,17,15,15,15,15,15,14,16,15,15,15,19,16,17,18,16,17,18,17,17,17,16,18,16,18,17,16,18,18,18,16,18,17,18,18,23,21,22,22,22,20,23,21,16,16,17,16,17,18,16,17
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,41,35,37,36,38,35,37,36,26,24,24,25,25,25,24,24,12,12,13,12,13,13,12,12,13,12,13,14,13,12,13,12,6,6,6,7,6,6,7,6,3,2,2,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,7,6,7,6,6,6,6,7,6,6,7,6,6,6,6,6,6,6,6,6,7,12,12,13,13,12,13,12,12,11,12,12,13,13,12,12,12,13,13,13,13,13,14,12,13,26,25,27,23,25,24,23,25,26,28,24,26,25,25,25,25,26,23,25,25,24,24,25,24,46,45,44,43,44,42,44,49,44,45,42,46,46,40,42,46,45,42,47,45,42,47,43,44,41,43,42,48,44,43,41,45,43,47,45,44,44,48,41,45,40,45,47,44,42,44,46,47,36,39,37,33,41,36,37,38,40,39,39,36,36,36,37,37,40,35,36,36,38,36,36,37,45,43,46,46,44,41,41,44,44,47,44,42,45,46,47,47,45,44,44,44,45,44,47,46,43,45,44,42,46,46,44,41,46,39,42,45,42,42,47,42,44,47,45,50,47,43,42,43,32,29,31,31,31,32,31,31,32,35,31,28,31,32,31,32,33,30,32,31,30,29,32,29,27,29,25,29,27,28,28,26,25,29,28,26,27,26,30,27,28,27,29,29,27,26,26,27,32,29,31,32,32,30,31,34,32,34,32,30,30,32,33,32,30,29,29,33,28,32,33,32,36,35,35,33,36,33,35,35,32,39,33,38,38,33,36,34,37,36,37,34,34,36,36,36,40,37,35,37,38,38,38,39,38,37,34,39,37,38,32,33,34,38,40,38,39,38,37,40,46,47,40,47,46,49,42,42,46,45,43,42,47,41,46,44,47,43,44,40,47,41,48,44,54,59,59,62,54,56,52,54,48,49,42,47,42,48,43,40
