"X0","X8","X16","X24","X32","X40","X1","X9","X17","X25","X33","X41","X0.1","X24.1","X48","X72","X96","X120","X144","X168","X192","X216","X240","X264","X288","X312","X336","X1.1","X25.1","X49","X73","X97","X121","X145","X169","X193","X217","X241","X265","X289","X313","X337","X2","X26","X50","X74","X98","X122","X146","X170","X194","X218","X242","X266","X290","X314","X338","X3","X27","X51","X75","X99","X123","X147","X171","X195","X219","X243","X267","X291","X315","X339","X4","X28","X52","X76","X100","X124","X148","X172","X196","X220","X244","X268","X292","X316","X340","X5","X29","X53","X77","X101","X125","X149","X173","X197","X221","X245","X269","X293","X317","X341","X0.2","X8.1","X16.1","X1.2","X9.1","X17.1"
17,12,5,6,3,1,17,11,6,5,3,1,17,6,1,1,3,6,11,20,21,16,21,19,13,11,14,17,5,1,1,3,5,11,20,16,17,19,19,14,13,14,16,6,1,1,3,5,12,19,18,17,20,21,14,11,14,16,6,0,1,3,6,11,18,17,18,19,20,13,13,15,18,5,1,1,3,6,11,23,21,15,20,22,14,11,13,17,6,1,1,3,5,11,21,20,15,19,19,13,11,15,17,12,5,17,11,6
19,13,6,6,3,1,20,12,6,6,3,1,19,6,1,1,3,6,12,21,22,18,23,22,15,15,16,20,6,1,1,3,7,12,21,22,21,22,22,15,14,16,19,6,1,1,3,6,12,23,22,20,19,21,14,14,16,18,6,1,1,3,6,12,23,23,19,23,22,15,14,16,18,6,1,1,3,6,13,19,22,20,21,21,15,15,17,20,6,1,1,3,6,13,20,21,18,22,21,16,14,14,19,13,6,20,12,6
24,15,7,8,3,2,24,15,8,8,4,1,24,8,1,1,4,8,16,28,25,24,29,29,19,18,19,24,8,1,1,4,8,17,29,26,25,27,26,19,17,20,25,8,1,1,4,8,16,27,28,25,29,29,18,17,19,22,8,1,1,4,8,16,28,26,22,30,29,17,18,20,24,9,1,1,4,7,16,27,27,22,28,29,19,16,18,23,8,1,1,4,8,17,28,30,23,26,26,18,17,18,24,15,7,24,15,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,11,5,5,3,1,19,12,6,6,3,1,18,5,1,1,3,6,12,20,20,20,19,20,15,13,15,19,6,1,1,3,6,12,22,21,16,20,19,16,13,16,17,6,1,1,3,6,11,21,20,17,21,20,16,12,15,18,6,1,1,3,6,11,20,21,16,21,18,15,12,14,18,6,1,1,3,6,12,20,19,18,19,20,14,13,14,18,6,1,1,3,6,11,19,19,16,19,21,16,13,14,18,11,5,19,12,6
15,11,5,5,2,1,15,9,5,5,2,1,15,5,0,1,2,5,9,17,16,14,17,18,12,11,12,15,5,0,0,2,5,10,17,17,15,16,15,12,11,13,13,5,0,1,2,5,10,17,17,14,17,18,12,10,13,16,5,1,0,2,5,10,17,18,15,17,16,12,11,12,16,5,1,1,2,5,10,16,17,15,18,18,11,11,13,14,5,0,0,3,5,11,19,17,16,16,16,12,11,12,15,11,5,15,9,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,26,12,13,6,3,35,24,12,12,6,2,41,13,1,1,6,13,26,45,40,40,45,44,33,28,30,35,12,1,1,6,13,23,42,45,35,44,47,30,27,29,37,13,1,1,6,13,25,47,47,36,44,45,32,29,29,36,14,1,1,6,13,25,45,44,36,44,50,31,29,33,38,13,1,1,6,13,24,42,42,38,45,47,30,27,28,35,12,1,1,6,14,24,47,44,36,44,43,29,26,32,41,26,12,35,24,12
