"X0","X24","X0.1","X72","X144","X216","X288","X1","X73","X145","X217","X289","X2","X74","X146","X218","X290","X0.2"
17,6,17,1,11,16,13,17,1,11,17,14,16,1,12,17,14,17
19,6,19,1,12,18,15,20,1,12,21,15,19,1,12,20,14,19
24,8,24,1,16,24,19,24,1,17,25,19,25,1,16,25,18,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5,18,1,12,20,15,19,1,12,16,16,17,1,11,17,16,18
15,5,15,1,9,14,12,15,0,10,15,12,13,1,10,14,12,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,13,41,1,26,40,33,35,1,23,35,30,37,1,25,36,32,41
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,7,0,4,7,6,7,0,4,7,6,7,0,5,7,5,7
8,3,8,0,5,8,7,8,0,6,9,8,9,0,6,9,7,8
9,3,9,0,6,9,7,9,0,6,9,7,9,0,6,9,7,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,7,0,5,7,6,8,0,5,7,6,7,0,5,7,6,7
8,2,8,0,5,7,6,7,0,5,8,6,8,0,5,7,6,8
8,3,8,0,5,7,6,7,0,5,8,6,7,0,5,7,6,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,12,0,7,11,10,12,0,8,12,9,12,0,7,11,9,12
45,16,45,1,29,45,36,45,1,30,47,35,43,1,29,47,37,45
12,4,12,0,8,12,9,13,0,8,12,10,11,0,8,12,10,12
59,20,59,2,35,51,46,52,2,38,55,44,54,2,34,55,45,59
53,18,53,2,36,52,47,56,2,36,54,43,54,2,33,56,48,53
57,18,57,2,36,53,43,53,2,33,52,47,54,2,37,56,44,57
52,19,52,2,34,53,46,51,2,34,52,45,53,2,38,54,42,52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,17,56,2,35,48,44,48,2,34,54,43,49,2,32,60,46,56
21,7,21,1,13,21,18,21,1,14,20,16,20,1,14,18,15,21
19,7,19,1,13,18,15,20,1,13,20,17,20,1,14,20,18,19
19,7,19,1,13,20,17,20,1,14,20,16,21,1,12,21,16,19
20,7,20,1,14,20,17,20,1,12,20,16,20,1,14,20,17,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,13,1,10,15,12,15,1,11,15,12,15,1,10,16,12,13
24,9,24,1,16,23,21,24,1,17,22,20,28,1,17,25,20,24
5,2,5,0,3,5,4,6,0,4,6,4,5,0,4,5,4,5
5,2,5,0,4,5,5,6,0,3,5,4,6,0,4,5,4,5
6,2,6,0,4,5,4,5,0,3,6,4,5,0,4,6,5,6
5,2,5,0,4,6,4,6,0,4,5,5,6,0,3,5,4,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,12,34,1,21,33,26,36,1,22,35,28,35,1,25,35,30,34
11,4,11,0,7,10,10,11,0,7,10,9,10,0,7,12,9,11
11,4,11,0,8,11,10,11,0,8,12,9,12,0,7,11,9,11
11,4,11,0,7,11,9,12,0,8,11,9,11,0,7,11,9,11
11,4,11,0,7,11,9,11,0,7,11,10,11,0,7,12,9,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,22,56,2,42,61,57,70,2,39,58,52,62,2,47,62,54,56
4,1,4,0,2,4,3,4,0,3,4,4,4,0,3,4,3,4
9,3,9,0,6,8,8,9,0,6,9,7,9,0,5,9,7,9
9,3,9,0,6,8,8,9,0,6,9,7,10,0,6,9,7,9
38,11,38,1,22,33,31,36,1,25,36,28,34,1,24,35,28,38
18,6,18,1,11,18,15,18,1,12,19,14,17,1,12,19,15,18
37,13,37,1,26,35,33,39,1,28,42,32,35,1,26,38,33,37
2,1,2,0,2,3,2,2,0,2,2,2,2,0,2,2,2,2
2,1,2,0,2,2,2,2,0,1,2,2,2,0,1,3,2,2
16,4,16,1,9,14,13,15,1,10,14,12,15,0,10,15,12,16
6,2,6,0,4,5,4,5,0,4,6,4,5,0,4,5,5,6
15,5,15,1,9,15,12,14,0,10,15,12,14,0,9,14,11,15
14,5,14,0,10,15,12,15,0,9,14,13,15,1,9,14,11,14
11,3,11,0,6,9,8,10,0,7,10,9,10,0,6,10,9,11
8,3,8,0,5,7,6,8,0,5,8,6,8,0,6,8,7,8
8,3,8,0,5,8,6,7,0,5,8,7,8,0,5,8,6,8
9,2,9,0,5,8,6,7,0,5,8,6,8,0,5,8,6,9
7,2,7,0,5,8,7,7,0,4,8,7,8,0,5,8,6,7
8,3,8,0,5,8,7,8,0,5,8,6,8,0,5,8,7,8
15,5,15,0,10,14,13,16,0,10,15,12,15,0,10,15,13,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9,26,1,18,25,21,29,1,18,28,21,27,1,18,26,20,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
